,name   ,alt_name ,ra         ,dec        ,vmag ,multiple,class                                              ,
,HR 3302,Kap2Vol  ,08 20 00.70,-71 30 19.1, 5.65,W       ,                                          STAR A0IV,
,HR 4596,         ,12 02 28.61,-71 29 20.0, 6.42,        ,                                         STAR K1III,
,HR 4930,         ,13 03 05.21,-71 28 34.0, 6.03,        ,                                         STAR B1III,
,HR 9108,         ,00 04 41.30,-71 26 12.8, 5.59,        ,                                          STAR B8IV,
,HR 4349,         ,11 11 29.50,-71 26 11.0, 6.35,        ,                                         STAR K2III,
,HR 6982,Zet Pav  ,18 43 02.11,-71 25 41.2, 4.01,W       ,                                         STAR K0III,
,HR 3944,         ,09 56 09.70,-71 23 21.8, 6.35,        ,                                           STAR B9I,
,HR 1677,Bet Men  ,05 02 43.01,-71 18 51.8, 5.31,        ,                                         STAR G8III,
,HR 139 ,The Tuc  ,00 33 23.30,-71 15 58.0, 6.13,        ,                                          STAR A7IV,
,HR 8286,         ,21 45 28.80,-71 00 32.0, 6.01,        ,                                          STAR B8IV,
,HR 6135,         ,16 34 19.30,-70 59 17.2, 5.50,        ,                                         STAR K1III,
,HR 2602,Iot Vol  ,06 51 27.00,-70 57 47.9, 5.40,        ,                                          STAR B7IV,
,HR 1541,Mu  Men  ,04 43 03.91,-70 55 52.0, 5.54,        ,                                          STAR B8II,
,HR 4329,         ,11 06 49.90,-70 52 41.2, 5.57,W       ,                                           STAR B2V,
,HR 4211,         ,10 44 19.39,-70 51 36.0, 6.26,W       ,                                          STAR A5IV,
,HR 4212,         ,10 44 32.09,-70 51 18.0, 6.46,W       ,                                          STAR A6IV,
,HR 5125,         ,13 40 00.60,-70 47 17.9, 6.59,        ,                                         STAR K0III,
,HR 6774,         ,18 14 24.10,-70 45 05.0, 6.73,        ,                                          STAR B7II,
,HR 6357,         ,17 12 19.80,-70 43 16.0, 6.22,        ,                                          STAR K1IV,
,HR 4262,         ,10 53 42.00,-70 43 13.1, 5.99,W       ,                                           STAR B6V,
,HR 5049,         ,13 25 50.11,-70 37 39.0, 5.67,        ,                                            STAR A0,
,HR 3642,         ,09 05 38.30,-70 32 20.0, 4.71,        ,                                          STAR B2IV,
,HR 2736,Gam2Vol  ,07 08 44.90,-70 29 56.0, 3.78,W       ,                                         STAR K0III,
,HR 2735,Gam1Vol  ,07 08 42.19,-70 29 49.9, 5.69,W       ,                                           STAR F2V,
,HR 8994,         ,23 44 25.39,-70 29 25.1, 6.07,        ,                                          STAR G8IV,
,HR 5119,         ,13 38 45.70,-70 26 42.0, 6.10,        ,                                         STAR K3III,
,HR 2536,         ,06 44 56.09,-70 26 02.0, 6.11,        ,                                         STAR K3III,
,HR 8527,         ,22 25 10.51,-70 25 54.1, 5.78,        ,                                         STAR F3III,
,HR 3460,The Vol  ,08 39 05.21,-70 23 12.8, 5.20,W       ,                                           STAR A0V,
,HR 8672,         ,22 49 17.40,-70 20 52.1, 6.34,        ,                                           STAR A2V,
,HR 5293,         ,14 10 30.91,-70 18 20.2, 6.05,W       ,                                          STAR K4II,
,HR 5792,         ,15 40 11.50,-70 13 40.1, 6.44,        ,                                           STAR A1V,
,HR 4538,         ,11 49 56.59,-70 13 32.9, 4.97,        ,                                           STAR G6I,
,HR 4645,         ,12 12 46.80,-70 09 06.8, 6.17,        ,                                           STAR F6I,
,HR 8092,Omi Pav  ,21 13 20.50,-70 07 35.0, 5.02,        ,                                         STAR M1III,
,HR 6411,Iot Aps  ,17 22 05.90,-70 07 23.9, 5.41,W       ,                                           STAR B9V,
,HR 3370,         ,08 27 16.90,-70 05 35.9, 5.53,        ,                                           STAR A0V,
,HR 6098,Zet TrA  ,16 28 28.10,-70 05 03.8, 4.91,        ,                                           STAR F9V,
,HR 5644,         ,15 14 19.10,-70 04 45.8, 5.81,        ,                                               STAR,
,HR 4841,         ,12 45 01.70,-68 49 52.0, 6.16,        ,                                           STAR F6I,
,HR 8701,Rho Ind  ,22 54 39.41,-70 04 25.0, 6.05,        ,                                          STAR G2IV,
,HR 6400,         ,17 20 12.79,-70 02 44.2, 6.53,W       ,                                          STAR G0IV,
,HR 4037,Ome Car  ,10 13 44.21,-70 02 17.2, 3.32,        ,                                         STAR B8III,
,HR 2352,Pi 1Dor  ,06 22 38.21,-69 59 03.1, 5.56,        ,                                         STAR K5III,
,HR 4966,         ,13 11 51.60,-69 56 30.8, 5.91,W       ,                                          STAR F3IV,
,HR 3038,         ,07 44 13.01,-69 49 17.0, 6.18,        ,                                          STAR A0IV,
,HR 8156,         ,21 24 16.70,-69 44 03.1, 6.41,        ,                                               STAR,
,HR 5295,         ,14 11 01.90,-69 43 10.9, 6.06,        ,                                          STAR A6IV,
,HR 3685,Bet Car  ,09 13 12.00,-69 43 01.9, 1.68,        ,                                          STAR A2IV,
,HR 2377,Pi 2Dor  ,06 25 28.61,-69 41 25.1, 5.38,        ,                                         STAR G8III,
,HR 4994,         ,13 15 25.70,-69 40 46.9, 6.37,        ,                                         STAR K2III,
,HR 8333,Omi Ind  ,21 50 47.11,-69 37 45.8, 5.53,        ,                                         STAR K2III,
,HR 5066,         ,13 28 46.39,-69 37 41.2, 6.20,        ,                                            STAR A0,
,HR 83  ,Pi  Tuc  ,00 20 39.00,-69 37 30.0, 5.51,        ,                                           STAR B9V,
,HR 1053,         ,03 24 02.50,-69 37 28.9, 6.15,        ,                                           STAR G0V,
,HR 7838,         ,20 35 51.70,-69 36 40.0, 6.11,        ,                                         STAR K2III,
,HR 270 ,Lam2Tuc  ,00 55 00.31,-69 31 36.8, 5.45,        ,                                         STAR K2III,
,HR 8196,         ,21 28 44.90,-69 30 19.1, 5.34,        ,                                         STAR M5III,
